Art,Comics,Dance,Design,Fashion,Film & Video,Food,Games,Music,Photography,Publishing,Technology,Theater
485,128,117,151,90,1179,173,253,1817,118,357,98,316
433,84,270,214,63,65,97,638,54,18,192,58,106
