,Theater,Comics,Film & Video,Publishing,Games,Technology,Design,Dance,Food,Photography,Music,Fashion,Art
successful,316,128,1179,357,253,98,151,117,173,118,1817,90,485
unsuccessful,106,84,65,192,638,58,214,270,97,18,54,63,433
